Standard;rock type;producer;Material Source;Date Released;Link;Material Production Reference;Data Source Reference
JB-1A;basalt;Geological Survey of Japan;Replacement sample of JB-1;1984;http://www.geostandards.lanl.gov/AllAnalytes/All-JB-1A_1.html;"N. Imai, S. Terashima, S. Itoh and A. Ando (1995), 1994 Compilation of Analytical Data for Minor and Trace Elements in Seventeen GSJ Geochemical Reference Samples, ""Igeous Rock Series,"", Geostandards Newsletter, 19: 135-213.";"S. Terashima, N. Imai, S. Itoh, A. Ando and N. Mita (1994), 1993 Compilation of Analytical Data for Major Elements in Seventeen  GSJ Geochemical Reference Samples, ""Igneous Rock Series,"", Bulletin of the Geological Survey (Society) of Japan, 45: 305-381 ; Taken from 95IMA - 01."
JB-2;basalt;Geological Survey of Japan;Oshima volcano erupted in 1950-51, Oshima, Tokyo, JPN;1982;http://www.geostandards.lanl.gov/AllAnalytes/All-JB-2_1.html;"N. Imai, S. Terashima, S. Itoh and A. Ando (1995), 1994 Compilation of Analytical Data for Minor and Trace Elements in Seventeen  SJ Geochemical Reference Samples, ""Igeous Rock Series,"", Geostandards Newsletter, 19: 135-213.";"S. Terashima, N. Imai, S. Itoh, A. Ando and N. Mita (1994), 1993 Compilation of Analytical Data for Major Elements in Seventeen GSJ Geochemical Reference Samples, ""Igneous Rock Series,"", Bulletin of the Geological Survey (Society) of Japan, 45: 305-381 ; Taken from 95IMA - 01."
JDo-1;dolomite;Geological Survey of Japan;Kuzuu dolomite, Permina, Kuzuu-machi, Tochigi Prefecture, JPN;1987;http://www.geostandards.lanl.gov/AllAnalytes/All-JDo-1_1.html;S. Itoh, S. Terashima, N. Imai, H. Kamioka, N. Mita and A. Ando (1993), 1992 Compilation of Analytical Data for Rare-earth Elements, Scandium, Yttrium, Zirconium and Hafnium in Twenty-six GSJ Reference Samples, Geostandards Newsletter, 17: 5-79;"N. Imai, S. Terashma, S. Itoh and A. Ando (1996), 1996 Compilation of Analytical Data on Nine GSJ Geochemical Reference Samples, ""Sedimentary Rock Series"", Geostandards Newsletter, 20: 165-216"
JG-1;granodiorite;Geological Survey of Japan;Sori granodiorite, 91 Ma, Azuma-mura, Gunma Prefecture, JPN;1967;http://www.geostandards.lanl.gov/AllAnalytes/All-JG-1_1.html;"N. Imai, S. Terashima, S. Itoh and A. Ando (1995), 1994 Compilation of Analytical Data for Minor and Trace Elements in Seventeen GSJ Geochemical Reference Samples, ""Igeous Rock Series,"", Geostandards Newsletter, 19: 135-213. ";"S. Terashima, N. Imai, S. Itoh, A. Ando and N. Mita (1994), 1993 Compilation of Analytical Data for Major Elements in Seventeen  GSJ Geochemical Reference Samples, ""Igneous Rock Series,"", Bulletin of the Geological Survey (Society) of Japan, 45: 305-381 ; Taken from 95IMA - 01."
JG-1A;granodiorite;Geological Survey of Japan;Replacement sample of JG-1;1984;http://www.geostandards.lanl.gov/AllAnalytes/All-JG-1A_1.html;"N. Imai, S. Terashima, S. Itoh and A. Ando (1995), 1994 Compilation of Analytical Data for Minor and Trace Elements in Seventeen GSJ Geochemical Reference Samples, ""Igeous Rock Series,"", Geostandards Newsletter, 19: 135-213. ";"S. Terashima, N. Imai, S. Itoh, A. Ando and N. Mita (1994), 1993 Compilation of Analytical Data for Major Elements in Seventeen GSJ Geochemical Reference Samples, ""Igneous Rock Series,"", Bulletin of the Geological Survey (Society) of Japan, 45: 305-381 ;Taken from 95IMA - 01. "
JG-2;granite;Geological Survey of Japan;Naegi granite, Cretaceous, Hirukawa-mura, Gifu Prefecture, JPN;1985;http://www.geostandards.lanl.gov/AllAnalytes/All-JG-2_1.html;"N. Imai, S. Terashima, S. Itoh and A. Ando (1995), 1994 Compilation of Analytical Data for Minor and Trace Elements in Seventeen  GSJ Geochemical Reference Samples, ""Igeous Rock Series,"", Geostandards Newsletter, 19: 135-213.";"S. Terashima, N. Imai, S. Itoh, A. Ando and N. Mita (1994), 1993 Compilation of Analytical Data for Major Elements in Seventeen  GSJ Geochemical Reference Samples, ""Igneous Rock Series,"", Bulletin of the Geological Survey (Society) of Japan, 45: 305-381 ; Taken from 95IMA - 01."
JG-3;granite;Geological Survey of Japan;Mitoya granodiorite, 54 Ma, Mitoya-cho, Simane Prefecture, JPN;1986;http://www.geostandards.lanl.gov/AllAnalytes/All-JG-3_1.html;"N. Imai, S. Terashima, S. Itoh and A. Ando (1995), 1994 Compilation of Analytical Data for Minor and Trace Elements in Seventeen GSJ Geochemical Reference Samples, ""Igeous Rock Series,"", Geostandards Newsletter, 19: 135-213.";"S. Terashima, N. Imai, S. Itoh, A. Ando and N. Mita (1994), 1993 Compilation of Analytical Data for Major Elements in Seventeen GSJ Geochemical Reference Samples, ""Igneous Rock Series,"", Bulletin of the Geological Survey (Society) of Japan, 45: 305-381 ; Taken from 95IMA - 01."
JGb-1;gabbro;Geological Survey of Japan;Utsushigatake, 103 Ma, Funehiki-machi, Fukushima Prefecture, JPN;1983;http://www.geostandards.lanl.gov/AllAnalytes/All-JGb-1_1.html;"N. Imai, S. Terashima, S. Itoh and A. Ando (1995), 1994 Compilation of Analytical Data for Minor and Trace Elements in Seventeen GSJ Geochemical Reference Samples, ""Igeous Rock Series,"", Geostandards Newsletter, 19: 135-213.";"S. Terashima, N. Imai, S. Itoh, A. Ando and N. Mita (1994), 1993 Compilation of Analytical Data for Major Elements in Seventeen GSJ Geochemical Reference Samples, ""Igneous Rock Series,"", Bulletin of the Geological Survey (Society) of Japan, 45: 305-381 ; Taken from 95IMA - 01."
JLk-1;lake sediment;Geological Survey of Japan;Lake Biwa, fresh water lake sediment, Shiga Prefecture, JPN;1987;http://www.geostandards.lanl.gov/AllAnalytes/All-JLk-1_1.html;S. Itoh, S. Terashima, N. Imai, H. Kamioka, N. Mita and A. Ando (1993), 1992 Compilation of Analytical Data for Rare-earth Elements, Scandium, Yttrium, Zirconium and Hafnium in Twenty-six GSJ Reference Samples, Geostandards Newsletter, 17: 5-79;"N. Imai, S. Terashma, S. Itoh and A. Ando (1996), 1996 Compilation of Analytical Data on Nine GSJ Geochemical Reference Samples, ""Sedimentary Rock Series"", Geostandards Newsletter, 20: 165-216"
JLs-1;limestone;Geological Survey of Japan;Garo limestone, Triassic, Kamiiso-cho Hokkaido, JPN;1987;http://www.geostandards.lanl.gov/AllAnalytes/All-JLs-1_1.html;S. Itoh, S. Terashima, N. Imai, H. Kamioka, N. Mita and A. Ando (1993), 1992 Compilation of Analytical Data for Rare-earth Elements, Scandium, Yttrium, Zirconium and Hafnium in Twenty-six GSJ Reference Samples, Geostandards Newsletter, 17: 5-79;"N. Imai, S. Terashma, S. Itoh and A. Ando (1996), 1996 Compilation of Analytical Data on Nine GSJ Geochemical Reference Samples, ""Sedimentary Rock Series"", Geostandards Newsletter, 20: 165-216"
JP-1;peridotite;Geological Survey of Japan;Horoman peridotite, Horoman, Hokkaido, JPN;1984;http://www.geostandards.lanl.gov/AllAnalytes/All-JP-1_1.html;"N. Imai, S. Terashima, S. Itoh and A. Ando (1995), 1994 Compilation of Analytical Data for Minor and Trace Elements in Seventeen  GSJ Geochemical Reference Samples, ""Igeous Rock Series,"", Geostandards Newsletter, 19: 135-213";"S. Terashima, N. Imai, S. Itoh, A. Ando and N. Mita (1994), 1993 Compilation of Analytical Data for Major Elements in Seventeen GSJ Geochemical Reference Samples, ""Igneous Rock Series,"", Bulletin of the Geological Survey (Society) of Japan, 45: 305-381"
JR-1;rhyolite;Geological Survey of Japan;Wada Toge obsidian, 0,8Ma, Wada-mura, Nagano Prefecture, JPN;1982;http://www.geostandards.lanl.gov/AllAnalytes/All-JR-1_1.html;"N. Imai, S. Terashima, S. Itoh and A. Ando (1995), 1994 Compilation of Analytical Data for Minor and Trace Elements in Seventeen  GSJ Geochemical Reference Samples, ""Igeous Rock Series,"", Geostandards Newsletter, 19: 135-213";"S. Terashima, N. Imai, S. Itoh, A. Ando and N. Mita (1994), 1993 Compilation of Analytical Data for Major Elements in Seventeen GSJ Geochemical Reference Samples, ""Igneous Rock Series,"", Bulletin of the Geological Survey (Society) of Japan, 45: 305-381"
JSd-2;stream sediment;Geological Survey of Japan;Composite sample of eastern Ibaraki Prefecture, JPN;1989;http://www.geostandards.lanl.gov/AllAnalytes/All-JSd-2_1.html;S. Itoh, S. Terashima, N. Imai, H. Kamioka, N. Mita and A. Ando (1993), 1992 Compilation of Analytical Data for Rare-earth Elements, Scandium, Yttrium, Zirconium and Hafnium in Twenty-six GSJ Reference Samples, Geostandards Newsletter, 17: 5-79;"N. Imai, S. Terashma, S. Itoh and A. Ando (1996), 1996 Compilation of Analytical Data on Nine GSJ Geochemical Reference Samples, ""Sedimentary Rock Series"", Geostandards Newsletter, 20: 165-216"
JSd-3;stream sediment;Geological Survey of Japan;Composite sample of eastern Ibaraki Prefecture, JPN;1989;http://www.geostandards.lanl.gov/AllAnalytes/All-JSd-3_1.html;S. Itoh, S. Terashima, N. Imai, H. Kamioka, N. Mita and A. Ando (1993), 1992 Compilation of Analytical Data for Rare-earth Elements, Scandium, Yttrium, Zirconium and Hafnium in Twenty-six GSJ Reference Samples, Geostandards Newsletter, 17: 5-79;"N. Imai, S. Terashma, S. Itoh and A. Ando (1996), 1996 Compilation of Analytical Data on Nine GSJ Geochemical Reference Samples, ""Sedimentary Rock Series"", Geostandards Newsletter, 20: 165-216"
JSl-1;slate;Geological Survey of Japan;Toyama clay slate, Permian, Toyama-cho, Miyagi Prefecture, JPN;1988;http://www.geostandards.lanl.gov/AllAnalytes/All-JSl-1_1.html;S. Itoh, S. Terashima, N. Imai, H. Kamioka, N. Mita and A. Ando (1993), 1992 Compilation of Analytical Data for Rare-earth Elements, Scandium, Yttrium, Zirconium and Hafnium in Twenty-six GSJ Reference Samples, Geostandards Newsletter, 17: 5-79;"N. Imai, S. Terashma, S. Itoh and A. Ando (1996), 1996 Compilation of Analytical Data on Nine GSJ Geochemical Reference Samples, ""Sedimentary Rock Series"", Geostandards Newsletter, 20: 165-216"
MA-N;granite;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";Beauvoir, FRA ;1980;http://www.geostandards.lanl.gov/AllAnalytes/All-MA-N_1.html; K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32;K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32
MASS-1;polymetal sulfide;United States Geological Survey;Copper, Iron and Zinc solution in combination with Sodium sulfide solution;;;;
