Label;Category;Denomination;Content;Rock type;Location;Producer;Amount;Comments;Link
NOD-A-1;Certified;;Manganese;Manganese Nodule;Atlantic Ocean (31° 02' N, 78° 22' W), collected along the Blake Plateau (depth 788m);United States Geological Survey;;Samples: 1 medium jar, Split 35 Position 18;http://minerals.cr.usgs.gov/geo_chem_stand/mangana1.html
NOD-P-1;Certified;;Manganese;Manganese Nodule;Pacific Ocean (14° 50' N, 124° 28' W), collected at a depth of 4300 meters;United States Geological Survey;;Samples: 1 medium jar, Split 2 Position 28;http://minerals.cr.usgs.gov/geo_chem_stand/mangana1.html, weitergeleitet zu: https://www.usgs.gov/centers/gggsc
NP;KTB-Standard;;Phonolite;Nosean Phonolite;KTB;;;Samples: 1 large jar, 1 small jar;
OKT;Certified;OK-TEDI;;;;;;Samples: 1 medium jar, 1 small jar, Erz A, 2,54 Au;
PB;Göttinger Hausstandard;;;;;;;Samples: 1 medium jar, 1 small jar, Pb 467 c.A 7Gö;
Pb;unbekannt ;999,999;;;;;;Samples: 1 small jar;
PCC-1;Certified;;Peridotite;Peridotite;Sunoma County, CA, East Austin Creek;United States Geological Survey;;Samples: 2 medium jars, Split 70 Positon 5, Split 80 Position 23;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-PCC-1_1.html
PD;KTB-Standard;;;Peridotite;KTB;;;Samples: 1 large jar, 1 small jar;
PE-12;unknown;;;Perowskit;;;10 g;Samples: 1 small jar;
PKP;Certified;KP-MiF;Peridotite;Peridotite;;Min. Inst. Freiburg;;Samples: 1 small jar;
PM-S;Certified;;Gabbro;Microgabbro;Pitscurrie Quarry, Scotland, GBR;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";;Samples: 1 medium jar, Split 5 Position 49, GIT-IWG 1993;http://www.geostandards.lanl.gov/AllAnalytes/All-PM-S_1.html
PS-1;Certified;;;Pyrit;Straßberg Bergakademie Freiberg DDR Sektion Geowissenschaften;;;Samples: 3 small jars, Ampullennummer 23;
Py 4575;unbekannt ;;;Pyrit;;;;10 ppm Cd   5ppm TC;
Py 5145;unbekannt ;;;Pyrit;;;;Samples: 2 small jars, 10 ppm, Cd 16 ppm, TC, 0.01 Pb, 0.06 Cu, 0.31 Zn, 0.042 As;
Q1;unbekannt ;;;Quartz;Kragerö;;;Samples: 1 small jar;
QLO-1;Certified;lava flow on flanks of extrusive dome, miocene;Quartz Latite;Quartz Latite (Dellenite);Lake County, OR;United States Geological Survey;;Samples: 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-QLO-1_1.html
RGM-1;Certified;Rhyolite from Glass Mountain, Holocene;Rhyolite;Rhyolite;Siskiyou County, CA;United States Geological Survey;;Samples: 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-RGM-1_1.html
S;unknown;ozean. Tholeiit Sonne 40/07-D;Basalt;Basalt;;;;Samples: 1 small jar;
S-1;unknown;;Syenite;Syenite;;;;Samples: 1 small jar;
S3;Certified;;;rock salt;;Geological Institute, Warsaw, Poland;;Samples: 1 medium jar, stored in black box;
SA 1774;Certified;Südafr. 17/74;;;;;;Samples: 1 medium jar, 1 small jar, 80,7 ppm Au;
SA 2974;Certified;Südafr. 29/74;;;;;;Samples: 1 medium jar, 1 small jar, 14.4 ppm Au;
SA 3881;Certified;Südafr. 38/81;;;;;;Samples:1 medium jar, 1 small jar, 1,82 ppm Au;
SARM 7;Certified;Pt-ore;;Pyroxenit N, Platin ore;RSA Südafrika;SA Bureau of Standards;;Samples: 1 large jar, 1 small jar;
SARM 8a;Certified;;;Chromium Ore ;;SA Bureau of Standards;;Samples: 1 medium jar, 1 small jar, 17023, Chroomerts Sarm 8;
SARM 8b;Certified;;;Chromium Ore;;SA Bureau of Standards;;Samples: 1 medium jar, 1 small jar, 19091,  Chroomerts Sarm 8, kleines Glas oben kaputt!;
SARM 13;Certified;;;Zircon;;SA Bureau of Standards;;Samples: 1 small jar;
SARM 62;Certified;;;Zircon;;SA Bureau of Standards;;Samples: 1 small jar;
SCHS-1;Certified;SCH-1;Shale;Black Shale;;;;Samples: 1 large jar, 1 bag, 1996, JGJ, sometimes also named SCH-1;
SDO-1;Certified;Huron Member of the Ohio Shale;Shale;Devonian Ohio Shale;Morehead, KY;United States Geological Survey;;Samples: 2 large jars (named SDO-1a (0521 Σ 194.7 g/ -12.2g RFA/ -40g ) and SDO-1b (0756 Σ 197g, 12,3 g RFA, 40g LAB)), 3 small jars (named SDO-1a, SDO-1b, SDO-1c (0310));http://minerals.cr.usgs.gov/geo_chem_stand/ohioshale.html
SDU-1;Certified;;Dunite;Dunite;;;;Samples: 1 large jar, JGJ;
SeO2;unknown;;;;;;;Samples: 1 small jar, 1:20 H3BO3, Überschuss aus alter Tablette;
SF1;Certified;;;Sphalerit;Bergakademie Freiberg DDR Sektion Geowissenschaften;;;Samples: 1 small jar, Ampullenprobe Nr.18;
SG-1A;Certified;;Granite;Granit albitized JGJ;;;;Samples: 1 large jar, JGJ;
SG-3;Certified;;Granite;Granite alkaline JGJ;;;;Samples: 1 large jar, JGJ;
SGD-1A;Certified;;Gabbro;Gabbro essexitice JGJ;;;;Samples: 1 large jar, JGJ;
SGD-2;Certified;;Gabbro;Gabbro essexitice JGJ;;;;Samples: 1 large jar, JGJ;
SH;KTB-Standard;;;Tonschiefer/Shale;KTB;;;Samples: 1 large jar, 1 small jar;
SLg-1;Certified;;Shale;Black Shale Ore;;;;Samples: 1 large jar, 1 bag;
SMa;Certified;;;sulphur ore;;Geological Institute, Warsaw, Poland;;Samples: 1 medium jar, stored in black box;
Sn-1;unknown;;;Tin ore;;;;Samples: 1 small jar;
SO-1;Certified;;Soil;Soil;Ottawa;Geological Survey of Canada;;Samples: 1 large jar, 1 small jar;
SO-2 ;Certified;;Soil;Soil;Ottawa;Geological Survey of Canada;;Samples: 1 large jar, 1 small jar;
SO-3;Certified;;Soil;Soil;Ottawa;Geological Survey of Canada;;Samples: 1 large jar, 1 small jar;
SO-4;Certified;;Soil;Soil;Ottawa;Geological Survey of Canada;;Samples: 1 large jar, 1 small jar;
SSK1.1;unknown;;;;;;;Samples: 1 small jar;
SSV-1;unknown;;Syenite;Syenite Sviatonossite JGJ;;;;Samples: 1 large jar, JGJ;
St 253-1;unknown;;;;;;;Samples: 1 small jar, BES 290-1;
St 532-1;unknown;;;;;;;Samples: 1 small jar;
STB1;Hausstandard;;;;;;;Samples: 1 small jar;
STB2;Hausstandard;;;;;;;Samples: 1 small jar;
StG1;Hausstandard;;;;;;;Samples: 1 large jar;
StG2;Hausstandard;;;;;;;Samples: 1 large jar;
STM-1;Certified;;Syenite;peralkaline nepheline syenite;Table Mountain, OR;United States Geological Survey;;Samples: 1 small jar;https://geostandards.lanl.gov/AllAnalytes/All-USGS-STM-1_1.html
SU-1;Certified;C.A.A.S Ni-Cu-Co-ore;;Sulphide;;;;Samples: 1 large jar, 2 small jars;
SU-1a;Certified;Nickel-Copper-Cobalt ORE, SU-1a;;;Ottawa;Geological Survey of Canada;;Samples: 1 large jar;
SW;Certified;;;Serpentinit;DDR;Zent. Geo. Ins. Berlin ;50 g;Samples: 1 large jar, 1 small jar, Abgelaufen 2003;
SY-2;Certified;;Syenite;Syenite;Ottawa;Geological Survey of Canada;;Samples: 1 large jar, 1 small jar;
SY-3;Certified;;Syenite;Syenite;Ottawa;Geological Survey of Canada;;Samples: 1 large jar, 1 small jar, REE, U, Th;
TB;Certified;;;Tonschiefer;DDR;Zent. Geo. Ins. Berlin ;50 g;Samples: 1 large jar, 1 small jar, Abgelaufen 1994;
TDB-1;Certified;;Diabase;Diabase;;;;Samples: 1 medium jar;
TILL-1;Certified;Reference Till Sample Till-1;Soil;Soil;Joe Lake, Ontario, CAN;Geological Survey of Canada;;Samples: 1 large jar;ftp://ftp.nrcan.gc.ca/ess/geochem/files/publications/pub_0857/geostds_v20no2.pdf
TILL-2;Certified;Reference Till Sample Till-2;;Till;5 km West Scisson's Brook, New Brunswick, CAN;Geological Survey of Canada;;Samples: 1 large jar, 1 small jar;ftp://ftp.nrcan.gc.ca/ess/geochem/files/publications/pub_0857/geostds_v20no2.pdf
TILL-3;Certified;Reference Till Sample Till-3;Soil;Soil;O'Brien Mine, near Cobalt, Ontario, CAN;Geological Survey of Canada;;Samples: 1 large jar, 1 small jar;ftp://ftp.nrcan.gc.ca/ess/geochem/files/publications/pub_0857/geostds_v20no2.pdf
TILL-4;Certified;Reference Till Sample Till-4;;Till;Scisson's Brook, New Brunswick, CAN;Geological Survey of Canada;;Samples: 1 large jar, 1 small jar;ftp://ftp.nrcan.gc.ca/ess/geochem/files/publications/pub_0857/geostds_v20no2.pdf
TO;KTB-Standard;;;Tonalit;KTB;;;Samples: 1 large jar, 1 small jar;
TS;Certified;;;Schwarzschiefer;DDR;Zent. Geo. Ins. Berlin ;50 g;Samples: 1 large jar, 1 small jar, Abgelaufen 2000;
TW;Göttinger Hausstandard;;;;;;;Samples: 1 medium jar, 1 small jar, TW 46 Fl.A 9;
UB-N;Certified;;Serpentine;Serpentine;Col des Bagenelles (Vosges), FRA ;Association Nationale de la Recherche Technique;15.5 g;Samples: 1 paper bag (6153);http://www.geostandards.lanl.gov/AllAnalytes/All-UB-N_1.html
UM-2;Certified;;;Ultramafic Rock;Ottawa;Geological Survey of Canada;;Samples: 1 large jar, 1 small jar;
UM-4;Certified;;;Ultramafic Rock;Ottawa;Geological Survey of Canada;;Samples: 1 large jar, 1 small jar;
UMT1;;;;Ultramafic Rock;;;;Samples: 1 medium jar;
VS-N;Certified;Etalontraces VS-N;Synthetic Silico-aluminous Glass;Synthetic Silico-aluminous Glass;SOVIREL (now Corning), FRA ;Association Nationale de la Recherche Technique;;Samples: 1 medium jar, Vers. Synthetique;http://www.geostandards.lanl.gov/AllAnalytes/All-VS-N_1.html
W-1;;;Basalt;Standard Basalt B1;;;0 g;;
W1;Certified;Bull Run Quarry;Diabase;Diabase;near Centerville, VA;United States Geological Survey;;Samples: 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-W-1_1.html
W-2;;Bull Run Quarry;Diabase;Diabase;near Centerville, VA;United States Geological Survey;0 g;;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-W-2_1.html
W-2 (M);Certified;;;;;;10.252 g;Samples: 1 small jar;
WGB-1;Certified;;Gabbro;Gabbro;;;;Samples: 1 medium jar;
WMG-1;Certified;;Gabbro;Gabbro;;;;Samples: 1 medium jar;
WMS-1;Certified;;;Sulfide Ore;;Geological Survey of Canada;;Samples: 1 medium jar, 1 small jar;
WPR-1;Certified;;Peridotite;Peridotite;;;;Vergessen grün zu markieren oder Fehler?, Samples: 1 medium jar;
WS-E;Certified;;Basalt;Dolerite (Basalt);Great Whin Sill, Northern England, GBR;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";;Samples: 1 medium jar, Split 4 Position 56, GIT-IWG 1993;https://www.geostandards.lanl.gov/AllAnalytes/All-WS-E_1.html
ZnU;Certified;;;zinc ore;;Geological Institute, Warsaw, Poland;;Samples: 1 medium jar, stored in black box;
ZW-C;Certified;;Zinnwaldite;Zinnwaldite;Cinovec (Zinnwald), CZE;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";;Samples: 2 large jars;http://www.geostandards.lanl.gov/AllAnalytes/All-ZW-C_1.html
